"profile id","species id","bird name","latin bird name","date","location","latitude","longitude","map"
"195","285","Stor Præstekrave","Charadrius hiaticula","1986-03-16","Nivå bugt, nordsj.,S (første noteret)","","",""
"195","289","Hvidbrystet Præstekrave","Charadrius alexandrinus","1986-08-09","Ølsemagle Revle v. Køge, S","","",""
"195","293","Pomeransfugl","Charadrius morinellus","1998-05-09","Revelsbuske (8 indiv.)","","",""
"195","296","Hjejle","Pluvialis apricaria","","","","",""
"195","297","Strandhjejle","Pluvialis squatarola","","","","",""
"195","301","Steppevibe","Vanellus gregarius","2004-04-19","Tissø - sydenden","","",""
"195","302","Sumpvibe","Vanellus leucurus","1997-07-16"," Borreby mose, S","","",""
"195","303","Vibe","Vanellus vanellus","","","","",""
"195","305","Islandsk Ryle","Calidris canutus","","","","",""
"195","306","Sandløber","Calidris alba","","","","",""
"195","310","Dværgryle","Calidris minuta","","","","",""
"195","311","Temmincksryle","Calidris temminckii","","","","",""
"195","316","Stribet Ryle","Calidris melanotos","2016-08-15","Ølsemagle Revle","55.485152","12.200317","http://maps.google.co.uk/maps?q=loc:55.485152, 12.200317(Stribet Ryle)&z=7&iwloc=A"
"195","318","Krumnæbbet Ryle","Calidris ferruginea","1984-08-06","Flasken, vestsj., S","","",""
"195","319","Sortgrå Ryle","Calidris maritima","1988-09-02","Hirtshals havn, NJ","","",""
"195","320","Almindelig Ryle","Calidris alpina","","","","",""
"195","322","Kærløber","Calidris falcinellus","1995-09-10","Stigsnæs, S","","",""
"195","325","Brushane","Calidris pugnax","","","","",""
"195","326","Enkeltbekkasin","Lymnocryptes minimus","1995-10-14","Kofoeds Enge, Amager","","",""
"195","327","Dobbeltbekkasin","Gallinago gallinago","","","","",""
