"profile id","species id","bird name","latin bird name","date","location","latitude","longitude","map"
"1623","142","Hvidøjet And","Aythya nyroca","2011-01-21","Nysted Nor","","",""
"1623","143","Troldand","Aythya fuligula","","","","",""
"1623","144","Bjergand","Aythya marila","2007-01-21","Esrum Sø","","",""
"1623","146","Ederfugl","Somateria mollissima","2003-05-10","Rønne Havn","","",""
"1623","151","Havlit","Clangula hyemalis","2006-04-11","Sandkås","","",""
"1623","152","Sortand","Melanitta nigra","2005-06-20","Bulbjerg","","",""
"1623","962","Amerikansk Sortand","Melanitta americana","2009-10-12","Sydhukket, Blåvand","","",""
"1623","153","Brilleand","Melanitta perspicillata","2014-10-13","Sydhukket, Blåvand","","",""
"1623","154","Fløjlsand","Melanitta fusca","2005-06-22","Lild Strand","","",""
"1623","963","Amerikansk Fløjlsand","Melanitta deglandi","2009-10-14","Sydhukket, Blåvand","","",""
"1623","157","Hvinand","Bucephala clangula","","","","",""
"1623","159","Lille Skallesluger","Mergellus albellus","2006-04-02","Favrholm Voldgrav","","",""
"1623","160","Toppet Skallesluger","Mergus serrator","","Pieren ved Vang","","",""
"1623","161","Stor Skallesluger","Mergus merganser","2003-03-16","Teglgårdssøen","","",""
"1623","162","Amerikansk Skarveand","Oxyura jamaicensis","2008-04-12","Hovvig","","",""
"1623","164","Hvepsevåge","Pernis apivorus","2006-09-02","Hillerød Station","","",""
"1623","167","Blå Glente","Elanus caeruleus","2012-04-18","Gilbjerg Hoved","","",""
"1623","168","Sort Glente","Milvus migrans","2007-04-14","Hesbjerg","","",""
"1623","169","Rød Glente","Milvus milvus","2006-04-29","Gilbjerg Hoved","","",""
"1623","172","Havørn","Haliaeetus albicilla","2006-05-28","Grusgrav, Sønderjylland","","",""
"1623","181","Slangeørn","Circaetus gallicus","2013-08-25","Salpetermosen, Hillerød","","",""
"1623","183","Rørhøg","Circus aeruginosus","","Ølene","","",""
"1623","184","Blå Kærhøg","Circus cyaneus","2006-02-14","Skævinge Enge","","",""
"1623","185","Steppehøg","Circus macrourus","2011-04-11","Gilbjerg Hoved","","",""
