"profile id","species id","bird name","latin bird name","date","country id","country","location","latitude","longitude","map"
"195","101","Tundra Swan","Cygnus columbianus","","","","","","",""
"195","102","Whooper Swan","Cygnus cygnus","","","","","","",""
"195","103","Tundra Bean Goose","Anser serrirostris","","","","","","",""
"195","104","Pink-footed Goose","Anser brachyrhynchus","","","","","","",""
"195","105","Greater White-fronted Goose","Anser albifrons","","","","","","",""
"195","106","Lesser White-fronted Goose","Anser erythropus","","","","","","",""
"195","107","Greylag Goose","Anser anser","","","","","","",""
"195","109","Canada Goose","Branta canadensis","","","","","","",""
"195","110","Barnacle Goose","Branta leucopsis","","","","","","",""
"195","111","Brant Goose","Branta bernicla","","","","","","",""
"195","112","Red-breasted Goose","Branta ruficollis","","","","","","",""
"195","113","Egyptian Goose","Alopochen aegyptiaca","","","","","","",""
"195","114","Ruddy Shelduck","Tadorna ferruginea","","","","","","",""
"195","115","Common Shelduck","Tadorna tadorna","","","","","","",""
"195","120","Eurasian Wigeon","Mareca penelope","","","","","","",""
"195","123","Gadwall","Mareca strepera","","","","","","",""
"195","125","Eurasian Teal","Anas crecca","","","","","","",""
"195","126","Green-winged Teal","Anas carolinensis","","","","","","",""
"195","128","Mallard","Anas platyrhynchos","","","","","","",""
"195","130","Northern Pintail","Anas acuta","","","","","","",""
"195","132","Garganey","Spatula querquedula","","","","","","",""
"195","133","Blue-winged Teal","Spatula discors","","","","","","",""
"195","135","Northern Shoveler","Spatula clypeata","","","","","","",""
"195","136","Marbled Duck","Marmaronetta angustirostris","","","","","","",""
"195","137","Red-crested Pochard","Netta rufina","","","","","","",""
"195","138","Common Pochard","Aythya ferina","","","","","","",""
"195","141","Ring-necked Duck","Aythya collaris","","","","","","",""
"195","142","Ferruginous Duck","Aythya nyroca","2004-06-07","1","Denmark","Ejby mose, Glostrup","","",""
"195","143","Tufted Duck","Aythya fuligula","","","","","","",""
"195","144","Greater Scaup","Aythya marila","","","","","","",""
"195","145","Lesser Scaup","Aythya affinis","","","","","","",""
"195","146","Common Eider","Somateria mollissima","","","","","","",""
"195","147","King Eider","Somateria spectabilis","","","","","","",""
"195","149","Steller's Eider","Polysticta stelleri","2003-02-14","1","Denmark","Nivå bugt","","",""
"195","151","Long-tailed Duck","Clangula hyemalis","","","","","","",""
"195","152","Common Scoter","Melanitta nigra","","","","","","",""
"195","154","Velvet Scoter","Melanitta fusca","","","","","","",""
