"profileId","speciesId","birdName","latinBirdName","recDate","location","latitude","longitude","recMap"
"4347","172","Havørn","Haliaeetus albicilla","","","","",""
"4347","183","Rørhøg","Circus aeruginosus","","","","",""
"4347","184","Blå Kærhøg","Circus cyaneus","","","","",""
"4347","185","Steppehøg","Circus macrourus","","","","",""
"4347","186","Hedehøg","Circus pygargus","","","","",""
"4347","189","Duehøg","Accipiter gentilis","","","","",""
"4347","190","Spurvehøg","Accipiter nisus","","","","",""
"4347","194","Musvåge","Buteo buteo","","","","",""
"4347","195","Ørnevåge","Buteo rufinus","2016-06-23","Lille Vildmose","56.915094","10.238914","http://maps.google.co.uk/maps?q=loc:56.915094, 10.238914(Ørnevåge)&z=7&iwloc=A"
"4347","196","Fjeldvåge","Buteo lagopus","","","","",""
"4347","197","Lille Skrigeørn","Clanga pomarina","2017-05-22","Damsted klit","","",""
"4347","202","Kongeørn","Aquila chrysaetos","","","","",""
"4347","206","Fiskeørn","Pandion haliaetus","","","","",""
"4347","208","Tårnfalk","Falco tinnunculus","","","","",""
"4347","210","Aftenfalk","Falco vespertinus","","","","",""
"4347","212","Dværgfalk","Falco columbarius","","","","",""
"4347","213","Lærkefalk","Falco subbuteo","2015-05-14","Grenen","","",""
"4347","218","Jagtfalk","Falco rusticolus","2015-09-11","Stigsnæs","55.244537","11.237812","http://maps.google.co.uk/maps?q=loc:55.244537, 11.237812(Jagtfalk)&z=7&iwloc=A"
"4347","219","Vandrefalk","Falco peregrinus","","","","",""
"4347","237","Agerhøne","Perdix perdix","","","","",""
"4347","238","Vagtel","Coturnix coturnix","","","","",""
"4347","239","Fasan","Phasianus colchicus","","","","",""
"4347","244","Vandrikse","Rallus aquaticus","","","","",""
"4347","245","Plettet Rørvagtel","Porzana porzana","","","","",""
"4347","247","Lille Rørvagtel","Porzana parva","2017-05-17","Søholm Skov og Dybsø","","",""
"4347","251","Engsnarre","Crex crex","2018-05-29","Strødam Engsø","","",""
"4347","252","Grønbenet Rørhøne","Gallinula chloropus","","","","",""
"4347","257","Blishøne","Fulica atra","","","","",""
"4347","260","Trane","Grus grus","","","","",""
"4347","272","Strandskade","Haematopus ostralegus","","","","",""
"4347","275","Klyde","Recurvirostra avosetta","","","","",""
"4347","284","Lille Præstekrave","Charadrius dubius","","","","",""
"4347","285","Stor Præstekrave","Charadrius hiaticula","","","","",""
"4347","289","Hvidbrystet Præstekrave","Charadrius alexandrinus","2016-08-03","Rømø","","",""
"4347","295","Amerikansk Hjejle","Pluvialis dominica","2016-05-16","Kalvebod fælled","55.600536","12.557631","http://maps.google.co.uk/maps?q=loc:55.600536, 12.557631(Amerikansk Hjejle)&z=7&iwloc=A"
"4347","296","Hjejle","Pluvialis apricaria","","","","",""
"4347","297","Strandhjejle","Pluvialis squatarola","","","","",""
"4347","303","Vibe","Vanellus vanellus","","","","",""
"4347","305","Islandsk Ryle","Calidris canutus","","","","",""
"4347","306","Sandløber","Calidris alba","","","","",""
"4347","310","Dværgryle","Calidris minuta","","","","",""
"4347","311","Temmincksryle","Calidris temminckii","","","","",""
"4347","316","Stribet Ryle","Calidris melanotos","2016-08-15","Køge Nordstrand","","",""
"4347","318","Krumnæbbet Ryle","Calidris ferruginea","","","","",""
"4347","319","Sortgrå Ryle","Calidris maritima","","","","",""
"4347","320","Almindelig Ryle","Calidris alpina","","","","",""
"4347","322","Kærløber","Calidris falcinellus","","","","",""
"4347","325","Brushane","Calidris pugnax","","","","",""
"4347","326","Enkeltbekkasin","Lymnocryptes minimus","","","","",""
"4347","327","Dobbeltbekkasin","Gallinago gallinago","","","","",""
"4347","333","Skovsneppe","Scolopax rusticola","2017-04-09","Gludsted Plantage","","",""
"4347","334","Stor Kobbersneppe","Limosa limosa","","","","",""
"4347","336","Lille Kobbersneppe","Limosa lapponica","","","","",""
"4347","339","Småspove","Numenius phaeopus","","","","",""
"4347","341","Storspove","Numenius arquata","","","","",""
"4347","353","Mudderklire","Actitis hypoleucos","","","","",""
"4347","350","Svaleklire","Tringa ochropus","","","","",""
"4347","343","Sortklire","Tringa erythropus","","","","",""
"4347","346","Hvidklire","Tringa nebularia","","","","",""
"4347","345","Damklire","Tringa stagnatilis","","","","",""
"4347","351","Tinksmed","Tringa glareola","","","","",""
"4347","344","Rødben","Tringa totanus","","","","",""
"4347","357","Stenvender","Arenaria interpres","","","","",""
"4347","359","Odinshane","Phalaropus lobatus","","","","",""
"4347","360","Thorshane","Phalaropus fulicarius","","","","",""
"4347","361","Mellemkjove","Stercorarius pomarinus","2015-05-14","Grenen","","",""
"4347","362","Almindelig Kjove","Stercorarius parasiticus","2016-08-09","Rågeleje strand","","",""
"4347","364","Storkjove","Stercorarius skua","2015-05-14","Grenen","","",""
"4347","390","Ride","Rissa tridactyla","","","","",""
"4347","375","Hættemåge","Chroicocephalus ridibundus","","","","",""
"4347","372","Dværgmåge","Hydrocoloeus minutus","","","","",""
"4347","389","Rosenmåge","Rhodostethia rosea","2007-12-30","Esbjerg Havn","","",""
"4347","370","Lattermåge","Leucophaeus atricilla","2018-01-06","Hanstholm havn","57.122991","8.607857","http://maps.google.co.uk/maps?q=loc:57.122991, 8.607857(Lattermåge)&z=7&iwloc=A"
"4347","369","Sorthovedet Måge","Ichthyaetus melanocephalus","2017-03-15","Holmesø","","",""
"4347","381","Stormmåge","Larus canus","","","","",""
"4347","382","Sildemåge","Larus fuscus","","","","",""
"4347","383","Sølvmåge","Larus argentatus","","","","",""
"4347","980","Kaspisk Måge","Larus cachinnans","2015-10-15","Blåvandshuk","","",""
"4347","384","Hvidvinget Måge","Larus glaucoides","","Gilleleje Havn","","",""
