"profileId","speciesId","birdName","latinBirdName","recDate","countryId","country","location","latitude","longitude","recMap"
"1623","600","Rødstjert","Phoenicurus phoenicurus","2005-06-18","1","Danmark","Bulbjerghus","","",""
"1623","604","Bynkefugl","Saxicola rubetra","2003-01-01","1","Danmark","Knudsker","","",""
"1623","606","Sortstrubet Bynkefugl","Saxicola torquatus","2009-03-09","15","Italien","Tuscolo","","",""
"1623","610","Stenpikker","Oenanthe oenanthe","2003-04-17","1","Danmark","Solbjerg Engsø","55.994812","12.249481","http://maps.google.co.uk/maps?q=loc:55.994812, 12.249481(Stenpikker)&z=7&iwloc=A"
"1623","612","Middelhavsstenpikker","Oenanthe hispanica","2018-03-10","8","Spanien","Malaga","","",""
"1623","622","Sørgestenpikker","Oenanthe leucura","2018-03-11","8","Spanien","Málaga","","",""
"1623","624","Blådrossel","Monticola solitarius","2009-03-11","15","Italien","Colosseum","","",""
"1623","634","Ringdrossel","Turdus torquatus","2007-04-14","1","Danmark","Hesbjerg","","",""
"1623","635","Solsort","Turdus merula","","1","Danmark","","","",""
"1623","638","Sortstrubet Drossel","Turdus atrogularis","2007-02-01","1","Danmark","Universitetsparken, Kbh","","",""
"1623","639","Sjagger","Turdus pilaris","","1","Danmark","Frederiksborg Slotspark","","",""
"1623","640","Sangdrossel","Turdus philomelos","2003-01-01","1","Danmark","Store Dyrehave","","",""
"1623","641","Vindrossel","Turdus iliacus","2003-04-05","1","Danmark","Holmene","","",""
"1623","642","Misteldrossel","Turdus viscivorus","2006-05-25","1","Danmark","Ribe Camping","","",""
"1623","644","Cettisanger","Cettia cetti","2009-09-29","34","Frankrig","Calvi, Korsika","","",""
"1623","645","Cistussanger","Cisticola juncidis","2018-03-10","8","Spanien","Malaga","","",""
"1623","651","Græshoppesanger","Locustella naevia","2006-05-26","1","Danmark","Rudbøl Kog","","",""
"1623","652","Flodsanger","Locustella fluviatilis","2007-06-28","1","Danmark","Langstrup Mose","","",""
"1623","653","Savisanger","Locustella luscinioides","2008-07-08","39","Polen","Zajki","","",""
"1623","656","Vandsanger","Acrocephalus paludicola","2008-07-10","39","Polen","Mscichy, Biebrza","","",""
"1623","657","Sivsanger","Acrocephalus schoenobaenus","2005-06-19","1","Danmark","Vejlerne","","",""
"1623","661","Kærsanger","Acrocephalus palustris","2005-06-19","1","Danmark","Vejlerne","","",""
"1623","662","Rørsanger","Acrocephalus scirpaceus","2003-06-14","1","Danmark","Vaserne","","",""
"1623","664","Drosselrørsanger","Acrocephalus arundinaceus","2008-07-12","39","Polen","Dojlidy Fishponds, Bialystok","","",""
"1623","671","Gulbug","Hippolais icterina","2005-06-19","1","Danmark","Skårup Odde","","",""
"1623","673","Sardinsk Sanger","Sylvia sarda","2009-10-02","34","Frankrig","Calvi, Korsika","","",""
"1623","674","Provencesanger","Sylvia undata","2009-10-02","34","Frankrig","Calvi, Korsika","","",""
"1623","679","Sorthovedet Sanger","Sylvia melanocephala","2009-04-08","15","Italien","Via Appia, Rom","","",""
"1623","685","Høgesanger","Sylvia nisoria","2008-07-10","39","Polen","Wizna, Biebrza","","",""
"1623","686","Gærdesanger","Sylvia curruca","2004-01-01","1","Danmark","Holmene","","",""
"1623","687","Tornsanger","Sylvia communis","2003-07-09","9","Sverige","Nåttarö","","",""
"1623","688","Havesanger","Sylvia borin","2005-06-19","1","Danmark","Vejlerne","","",""
"1623","689","Munk","Sylvia atricapilla","2004-01-01","1","Danmark","Store Dyrehave","","",""
"1623","690","Lundsanger","Phylloscopus trochiloides","2014-06-11","1","Danmark","Brøndbyskoven","","",""
"1623","692","Fuglekongesanger","Phylloscopus proregulus","2008-05-04","1","Danmark","Christiansø","55.323031","15.188355","http://maps.google.co.uk/maps?q=loc:55.323031, 15.188355(Fuglekongesanger)&z=7&iwloc=A"
"1623","693","Hvidbrynet Løvsanger","Phylloscopus inornatus","2008-05-02","1","Danmark","Frederiksø","","",""
"1623","699","Skovsanger","Phylloscopus sibilatrix","2006-05-10","1","Danmark","Store Dyrehave","","",""
"1623","701","Gransanger","Phylloscopus collybita","2003-04-17","1","Danmark","Gribskov","","",""
"1623","703","Iberisk Gransanger","Phylloscopus ibericus","2007-05-20","1","Danmark","Gråmyr","","",""
"1623","705","Løvsanger","Phylloscopus trochilus","2003-05-12","1","Danmark","Knudsker","","",""
"1623","707","Fuglekonge","Regulus regulus","2003-01-01","1","Danmark","Store Dyrehave","","",""
"1623","708","Rødtoppet Fuglekonge","Regulus ignicapilla","2007-06-17","1","Danmark","Grønnevej, Gribskov","","",""
"1623","710","Grå Fluesnapper","Muscicapa striata","2004-06-01","1","Danmark","Døndalen","","",""
"1623","711","Lille Fluesnapper","Ficedula parva","2007-05-17","1","Danmark","Christiansø","","",""
"1623","713","Hvidhalset Fluesnapper","Ficedula albicollis","2010-05-14","1","Danmark","Harager Hegn","","",""
"1623","714","Broget Fluesnapper","Ficedula hypoleuca","2006-04-29","1","Danmark","Gilbjerg Hoved","56.126449","12.270794","http://maps.google.co.uk/maps?q=loc:56.126449, 12.270794(Broget Fluesnapper)&z=7&iwloc=A"
"1623","715","Skægmejse","Panurus biarmicus","2004-08-15","1","Danmark","Hejresøen","55.574505","12.552909","http://maps.google.co.uk/maps?q=loc:55.574505, 12.552909(Skægmejse)&z=7&iwloc=A"
"1623","720","Halemejse","Aegithalos caudatus","2003-01-01","1","Danmark","Holmene","","",""
"1623","727","Blåmejse","Cyanistes caeruleus","","1","Danmark","Dyrehavevej 2","","",""
"1623","729","Musvit","Parus major","","1","Danmark","","","",""
"1623","725","Topmejse","Lophophanes cristatus","2003-07-09","9","Sverige","Nåttarö","","",""
"1623","726","Sortmejse","Periparus ater","2003-04-17","1","Danmark","Grib Skov","","",""
"1623","721","Sumpmejse","Poecile palustris","2003-01-01","1","Danmark","Store Dyrehave","","",""
"1623","723","Fyrremejse","Poecile montanus","2006-07-11","6","Norge","Norsjø Vandrehjem","","",""
"1623","734","Spætmejse","Sitta europaea","2003-02-01","1","Danmark","Store Dyrehave","","",""
"1623","738","Træløber","Certhia familiaris","2003-01-01","1","Danmark","","","",""
"1623","739","Korttået Træløber","Certhia brachydactyla","2007-03-31","1","Danmark","Gilbjerg Hoved","56.126449","12.270794","http://maps.google.co.uk/maps?q=loc:56.126449, 12.270794(Korttået Træløber)&z=7&iwloc=A"
"1623","740","Pungmejse","Remiz pendulinus","2004-08-15","1","Danmark","Hejresøen","55.574505","12.552909","http://maps.google.co.uk/maps?q=loc:55.574505, 12.552909(Pungmejse)&z=7&iwloc=A"
"1623","744","Pirol","Oriolus oriolus","2008-07-09","39","Polen","Zajki","","",""
"1623","748","Rødrygget Tornskade","Lanius collurio","2004-08-15","1","Danmark","Vestamager","","",""
"1623","750","Rosenbrystet Tornskade","Lanius minor","2017-05-21","1","Danmark","Grevinge","","",""
"1623","751","Stor Tornskade","Lanius excubitor","2006-07-12","6","Norge","Sauda","","",""
"1623","753","Rødhovedet Tornskade","Lanius senator","2011-08-05","1","Danmark","Halk Nor","","",""
"1623","756","Skovskade","Garrulus glandarius","2003-01-01","1","Danmark","Store Dyrehave","","",""
"1623","759","Husskade","Pica pica","","1","Danmark","","","",""
"1623","760","Nøddekrige","Nucifraga caryocatactes","2013-11-01","1","Danmark","Tisvildeleje","","",""
"1623","761","Alpeallike","Pyrrhocorax graculus","2007-07-16","25","Schweiz","Mürren","","",""
"1623","763","Allike","Corvus monedula","","1","Danmark","Frederiksborg Slotspark","","",""
"1623","766","Råge","Corvus frugilegus","2003-01-01","1","Danmark","","","",""
"1623","914","Sortkrage","Corvus corone","2006-05-25","1","Danmark","Darum Enge","","",""
"1623","767","Gråkrage","Corvus cornix","","1","Danmark","","","",""
